turno,jugador,monopoly,casas_compradas,coste_casas,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_monopoly,dinero_tras_carcel,dinero_final,props_antes,props_despues
237,gema,no,0,0,rosa2,propiedad,no,no,no,no,no,no,9693,9693,9693,9693,2,2
238,hugo,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9146,9146,9146,9146,5,5
239,irene,no,0,0,estacion3,estacion,no,si,no,no,no,no,9738,9738,9738,9698,3,3
240,javier,no,0,0,rosa2,propiedad,no,si,no,no,no,no,8726,8726,8726,8698,0,0
241,ana,no,0,0,rosa1,propiedad,no,si,no,no,no,no,8828,8828,8828,8800,2,2
242,bob,no,0,0,amarillo1,propiedad,no,si,no,no,no,no,9224,9224,9224,9172,4,4
243,carla,no,0,0,rosa2,propiedad,no,si,no,no,no,no,9507,9507,9507,9479,4,4
244,diego,no,0,0,naranja3,propiedad,no,si,no,no,no,no,9134,9134,9134,9094,1,1
245,elena,no,0,0,amarillo2,propiedad,no,si,no,no,no,no,8948,8948,8948,8896,3,3
246,fernando,no,0,0,rojo2,propiedad,no,no,no,no,no,no,9352,9352,9352,9352,2,2
247,gema,no,0,0,parking,parking,no,no,no,si,no,no,9749,9749,9749,10526,2,2
248,hugo,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9278,9278,9278,9278,5,5
249,irene,no,0,0,verde3,propiedad,no,si,no,no,no,no,9698,9698,9698,9634,3,3
250,javier,no,0,0,suerte3,suerte,no,no,no,no,no,no,8698,8698,8698,8698,0,0
251,ana,no,0,0,rojo2,propiedad,no,si,no,no,no,no,8840,8840,8840,8796,2,2
252,bob,no,0,0,verde3,propiedad,no,si,no,no,no,no,9172,9172,9172,9108,4,4
253,carla,no,0,0,parking,parking,no,no,no,si,no,no,9607,9607,9607,9995,4,4
254,diego,no,0,0,estacion3,estacion,no,si,no,no,no,no,9094,9094,9094,9054,1,1
255,elena,no,0,0,suerte6,suerte,no,no,no,no,no,no,8896,8896,8896,8896,3,3
256,fernando,no,0,0,impuesto3,impuesto,no,no,si,no,no,no,9396,9396,9396,9296,2,2
257,gema,no,0,0,amarillo1,propiedad,no,si,no,no,no,no,10526,10526,10526,10474,2,2
258,hugo,no,0,0,naranja1,propiedad,no,no,no,no,no,no,9330,9330,9330,9330,5,5
