turno,indice_jugador,jugador,estado_carcel_antes,decision_carcel,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,alquiler_realizado,alquiler_teorico,pago_real,dinero_inicial_turno,dinero_tras_carcel,dinero_final_turno,propiedades_antes,propiedades_despues,turno_perdido_carcel
98,2,bob,libre,no_aplica,4,6,10,28,38,no,azul1,propiedad,350,azul,no,no,0,0,6886,6886,6886,15,15,no
99,1,ana,libre,no_aplica,6,2,8,24,32,no,verde1,propiedad,300,verde,no,si,60,60,7844,7844,7784,10,10,no
100,2,bob,libre,no_aplica,3,1,4,38,2,si,morado1,propiedad,60,morado,no,no,0,0,6946,6946,6946,15,15,no
101,1,ana,libre,no_aplica,3,3,6,32,38,no,azul1,propiedad,350,azul,no,si,70,70,7784,7784,7714,10,10,no
102,2,bob,libre,no_aplica,1,6,7,2,9,no,gris2,propiedad,100,gris,no,si,20,20,7016,7016,6996,15,15,no
103,1,ana,libre,no_aplica,5,4,9,38,7,si,gris1,propiedad,100,gris,no,si,20,20,7734,7734,7714,10,10,no
104,2,bob,libre,no_aplica,5,1,6,9,15,no,rosa3,propiedad,160,rosa,no,si,32,32,7016,7016,6984,15,15,no
105,1,ana,libre,no_aplica,5,1,6,7,13,no,impuesto2,impuesto,150,ninguno,no,no,0,0,7746,7746,7746,10,10,no
106,2,bob,libre,no_aplica,6,5,11,15,26,no,estacion3,estacion,200,estacion,no,no,0,0,6984,6984,6984,15,15,no
107,1,ana,libre,no_aplica,1,3,4,13,17,no,naranja1,propiedad,180,naranja,no,no,0,0,7746,7746,7746,10,10,no
108,2,bob,libre,no_aplica,3,3,6,26,32,no,verde1,propiedad,300,verde,no,no,0,0,6984,6984,6984,15,15,no
109,1,ana,libre,no_aplica,2,3,5,17,22,no,rojo1,propiedad,220,rojo,no,si,44,44,7746,7746,7702,10,10,no
110,2,bob,libre,no_aplica,1,2,3,32,35,no,verde3,propiedad,320,verde,no,no,0,0,7028,7028,7028,15,15,no
111,1,ana,libre,no_aplica,5,5,10,22,32,no,verde1,propiedad,300,verde,no,si,60,60,7702,7702,7642,10,10,no
112,2,bob,libre,no_aplica,4,3,7,35,2,si,morado1,propiedad,60,morado,no,no,0,0,7088,7088,7088,15,15,no
113,1,ana,libre,no_aplica,5,2,7,32,39,no,impuesto4,impuesto,100,ninguno,no,no,0,0,7642,7642,7642,10,10,no
114,2,bob,libre,no_aplica,6,1,7,2,9,no,gris2,propiedad,100,gris,no,si,20,20,7088,7088,7068,15,15,no
115,1,ana,libre,no_aplica,2,1,3,39,2,si,morado1,propiedad,60,morado,no,si,12,12,7662,7662,7650,10,10,no
116,2,bob,libre,no_aplica,5,1,6,9,15,no,rosa3,propiedad,160,rosa,no,si,32,32,7080,7080,7048,15,15,no
117,1,ana,libre,no_aplica,5,4,9,2,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,7682,7682,7682,10,10,no
118,2,bob,libre,no_aplica,4,2,6,15,21,no,parking,parking,0,ninguno,no,no,0,0,7048,7048,7048,15,15,no
119,1,ana,libre,no_aplica,1,6,7,11,18,no,suerte3,suerte,0,ninguno,no,no,0,0,7682,7682,7682,10,10,no
120,2,bob,libre,no_aplica,2,1,3,21,24,no,rojo2,propiedad,220,rojo,no,no,0,0,7048,7048,7048,15,15,no
